	1	6	11	2	7	12	3	8	13	4	9	14	5	10		15
20.954	-15.148927	-15.148889	-15.149136	-7.247389	-15.149142	-15.149099	-7.265638	-7.195757	-7.23116	-7.21016	-7.243064	-7.24357	-7.227947	-7.220373	-15.16265	-7.232942
41.885	-15.149059	-15.148988	-15.148934	-7.247396	-15.149175	-15.149072	-7.265638	-7.195762	-7.231123	-7.210155	-7.243071	-7.24359	-7.227924	-7.220344	-15.162576	-7.232853
62.836	-15.148906	-15.148949	-15.148963	-7.247382	-15.148978	-15.149009	-7.265628	-7.195762	-7.231175	-7.210156	-7.243047	-7.243568	-7.227957	-7.22032	-15.162908	-7.232891
83.802	-15.149967	-15.152963	-15.154173	-7.247354	-15.152802	-15.155576	-7.265785	-7.195827	-7.231773	-7.210282	-7.243177	-7.243859	-7.228094	-7.220393	-15.162553	-7.233185
104.765	-15.151982	-15.138905	-15.149995	-7.247208	-15.150035	-15.148389	-7.266263	-7.196349	-7.232842	-7.210917	-7.243894	-7.244791	-7.228576	-7.22096	-15.162338	-7.233842
125.74	-15.149548	-15.12208	-15.148591	-7.247243	-15.148772	-15.148208	-7.266855	-7.196764	-7.233604	-7.211457	-7.2444	-7.245416	-7.228865	-7.221415	-15.16241	-7.234288
146.71	-15.148905	-15.115877	-15.148346	-7.247289	-15.148223	-15.148138	-7.267572	-7.197024	-7.234114	-7.211763	-7.244746	-7.245847	-7.229091	-7.221691	-15.162483	-7.23459
167.684	-15.148424	-15.113723	-15.14829	-7.247357	-15.148065	-15.14796	-7.26854	-7.197202	-7.234369	-7.212084	-7.244974	-7.24601	-7.229264	-7.221877	-15.162536	-7.234745
188.648	-15.148221	-15.112782	-15.148214	-7.247355	-15.148061	-15.147926	-7.269476	-7.197407	-7.234546	-7.212268	-7.245153	-7.246226	-7.229385	-7.222009	-15.162377	-7.2349
209.615	-15.148329	-15.112638	-15.148411	-7.24744	-15.148222	-15.148106	-7.270276	-7.197618	-7.234689	-7.212449	-7.24532	-7.246335	-7.229466	-7.222119	-15.162536	-7.234964
230.572	-15.148344	-15.112757	-15.148505	-7.247523	-15.148284	-15.14801	-7.270797	-7.197794	-7.234826	-7.212546	-7.2454	-7.246477	-7.229551	-7.222198	-15.16247	-7.235028
251.545	-15.148333	-15.112883	-15.14848	-7.247566	-15.148201	-15.148138	-7.2713	-7.197901	-7.234899	-7.212669	-7.24547	-7.24656	-7.229628	-7.222266	-15.162455	-7.23508
272.519	-15.148242	-15.112878	-15.148371	-7.247606	-15.148176	-15.148022	-7.271563	-7.198062	-7.234958	-7.212663	-7.245561	-7.246624	-7.229719	-7.222359	-15.162244	-7.235141
293.489	-15.148125	-15.113117	-15.148459	-7.247592	-15.148133	-15.147976	-7.271815	-7.198103	-7.23502	-7.212655	-7.245635	-7.246651	-7.229827	-7.222427	-15.162339	-7.235169
314.464	-15.148062	-15.113255	-15.147617	-7.24764	-15.147572	-15.147514	-7.272037	-7.198139	-7.235043	-7.212707	-7.245669	-7.246661	-7.229928	-7.222455	-15.162229	-7.235171
335.428	-15.148279	-15.120192	-15.148373	-7.247619	-15.148346	-15.148485	-7.27195	-7.198139	-7.234958	-7.21263	-7.245602	-7.246615	-7.229872	-7.222418	-15.162328	-7.235158
356.393	-15.148516	-15.12183	-15.148366	-7.247614	-15.148453	-15.148401	-7.271862	-7.19809	-7.234901	-7.212653	-7.245537	-7.246555	-7.229807	-7.222339	-15.162152	-7.235102
377.383	-15.148422	-15.122103	-15.148427	-7.247583	-15.148441	-15.148536	-7.271688	-7.198022	-7.234867	-7.21262	-7.245462	-7.246509	-7.229762	-7.222322	-15.162166	-7.235083
398.346	-15.148361	-15.12229	-15.148483	-7.247584	-15.148205	-15.148174	-7.271664	-7.197995	-7.234851	-7.212593	-7.245422	-7.246535	-7.22969	-7.222284	-15.161991	-7.235087
419.314	-15.148329	-15.122385	-15.148469	-7.247592	-15.148162	-15.148201	-7.271567	-7.197955	-7.234835	-7.212564	-7.245441	-7.246497	-7.229697	-7.222281	-15.161953	-7.235074
440.286	-15.148258	-15.122209	-15.148459	-7.247578	-15.148357	-15.148265	-7.271512	-7.197962	-7.234814	-7.212512	-7.245411	-7.246529	-7.229666	-7.222266	-15.162279	-7.23507
461.266	-15.14852	-15.122448	-15.148629	-7.247587	-15.148449	-15.148447	-7.27152	-7.197952	-7.23479	-7.212461	-7.245417	-7.246517	-7.229659	-7.222261	-15.162238	-7.23509
482.235	-15.148342	-15.122319	-15.148357	-7.24758	-15.148437	-15.148474	-7.271546	-7.197971	-7.234844	-7.212533	-7.245419	-7.246517	-7.229691	-7.222282	-15.162196	-7.235098
503.191	-15.148305	-15.122178	-15.148327	-7.247573	-15.14805	-15.148145	-7.271568	-7.197985	-7.234857	-7.212495	-7.245444	-7.246553	-7.229679	-7.222283	-15.161846	-7.2351
	-15.148041	-15.121971	-15.148168	-7.24754	-15.148037											
																
																
																
																
																
																
																
										1	6	11				
										2	7	12				
										3	8	13				
										4	9	14				
										5	10	15				
